Designator,Mid X,Mid Y,Rotation,Layer
C1,53.877339,-46.836089,0.0,top
C10,46.537339,-47.073339,90.0,top
C11,53.843339,-58.026982,315.0,top
C12,50.319089,-48.867107,90.0,top
C13,41.302089,-51.407107,90.0,top
C14,47.426339,-62.694339,270.0,top
C15,40.286089,-57.249107,225.0,top
C16,53.014339,-50.121339,0.0,top
C17,53.014339,-51.645339,0.0,top
C18,58.45,-31.6,270.0,top
C19,33.075,-25.825,270.0,top
C2,50.857339,-38.791089,180.0,top
C20,46.55,-78.175,0.0,top
C3,43.057339,-41.851089,0.0,top
C4,49.303089,-48.867107,90.0,top
C5,45.013339,-47.073339,90.0,top
C6,48.950339,-62.694339,270.0,top
C7,40.822339,-66.520107,270.0,top
C8,47.525089,-66.266107,90.0,top
C9,53.877339,-45.636089,180.0,top
D1,54.407339,-42.621089,90.0,top
D3,58.2,-53.711089,180.0,top
F2,33.175,-51.675,0.0,top
F3,34.925,-29.8,90.0,top
H5,30.425,-66.675,0.0,top
H6,61.410369,-40.593984,0.0,top
H7,35.075,-71.95,90.0,bottom
H8,59.35,-37.05,90.0,bottom
J1,53.55,-82.9,0.0,bottom
J3,37.405,-18.975,180.0,bottom
J4,53.3525,-25.6525,180.0,bottom
R1,46.55,-76.7,0.0,top
R10,32.1,-40.175,270.0,top
R11,45.394339,-62.694339,90.0,top
R12,60.05,-31.6,90.0,top
R13,31.545,-25.825,90.0,top
R4,55.575,-53.725,0.0,top
R5,56.987339,-49.816089,270.0,top
R6,58.527339,-49.816089,90.0,top
R7,52.457339,-62.141089,180.0,top
R8,46.967339,-43.351089,270.0,top
R9,48.497339,-43.351089,270.0,top
SW1,37.45,-36.675,0.0,top
U1,51.309839,-41.031089,180.0,top
U2,46.537339,-37.561089,270.0,top
U3,46.537339,-55.106089,0.0,top
U4,37.407339,-43.761089,0.0,top
Y1,44.251339,-66.250339,180.0,top
